State_code,State,Reserve_mean($million),Revenue_mean
01,  Alabama,275 ,27534018 
04,  Arizona,310 ,19185947 
05,  Arkansas,20 ,32293997 
06,  California,5251 ,287100000 
08,  Colorado,376 ,27620582 
09,  Connecticut,641 ,28190142 
10,  Delaware,178 ,8136586 
12,  Florida,990 ,88219166 
13,  Georgia,980 ,45516984 
15,  Hawaii,95 ,12027824 
16,  Idaho,167 ,21227883 
17,  Illinois,159 ,8987957 
18,  Indiana,626 ,74508309 
19,  Iowa,480 ,36311708 
20,  Kansas,0 ,16519401 
21,  Kentucky,109 ,28162981 
22,  Louisiana,434 ,30778455 
23,  Maine,98 ,9512978 
24,  Maryland,732 ,37582195 
25,  Massachusetts,1547 ,53462905 
26,  Michigan,387 ,69838285 
27,  Minnesota,1019 ,41607737 
28,  Mississippi,190 ,20038677 
29,  Missouri,508 ,32874356 
30,  Montana,3 ,7144840 
31,  Nebraska,389 ,10428498 
32,  Nevada,99 ,14182869 
33,  New Hampshire,44 ,7690479 
34,  New Jersey,210 ,67250360 
35,  New Mexico,481 ,16756933 
36,  New York,1220 ,182500000 
37,  North Carolina,670 ,54835346 
38,  North Dakota,261 ,6536957 
39,  Ohio,943 ,82381703 
40,  Oklahoma,382 ,22984587 
41,  Oregon,262 ,29997215 
42,  Pennsylvania,282 ,84827690 
44,  Rhode Island,128 ,8635312 
45,  South Carolina,270 ,28069648 
46,  South Dakota,127 ,4721485 
47,  Tennessee,431 ,30485695 
48,  Texas,4790 ,123600000 
49,  Utah,311 ,16739257 
50,  Vermont,69 ,5731805 
51,  Virginia,559 ,46433168 
53,  Washington,428 ,47437540 
54,  West Virginia,501 ,13956064 
55,  Wisconsin,129 ,40102589 
56,  Wyoming,729 ,6445321 
